Study,Country,Region,Sex,Season,HomeRangeEstimator,Value,SE,SampleSize,DataCollection,Habitat,Land,Climate,CompetitorINDEX,10Developed,10Forest - continuous,10Forest - diffuse,10Forest - sparse,10Shrub - continuous,10Shrubs - diffuse,10Shrub - sparse,10Grassland,10Pond/River/Lake,10Gravel/Rock/Sand,10Crops
Strang 2019,New Zealand,New Zealand,Male,,100% MCP ,428,154,5,VHF,Agricultural - sheep and cattle,Island,Temporate,0,0,0.346217559,0.557150745,0.090557703,0,0,0.006073992,0,0,0,0
Strang 2019,New Zealand,New Zealand,Female,,100% MCP ,203,75,3,VHF,Agricultural - sheep and cattle,Island,Temporate,0,0,0.346217559,0.557150745,0.090557703,0,0,0.006073992,0,0,0,0
Normand et al. 2019,USA,North America,,Summer,95% MCP,9.03,2.83,18,VHF,Urban,Not,Temporate,1,0.174891405,0.407320373,0.355978067,0.025920387,0,0,0,0.001103753,0.003738517,0,0.031047497
Normand et al. 2019,USA,North America,,Winter,95% MCP,11.09,2.14,18,VHF,Urban,Not,Temporate,1,0.174891405,0.407320373,0.355978067,0.025920387,0,0,0,0.001103753,0.003738517,0,0.031047497
Normand et al. 2019,USA,North America,Male,,95% MCP,22.14,5.74,10,VHF,Urban,Not,Temporate,1,0.174891405,0.407320373,0.355978067,0.025920387,0,0,0,0.001103753,0.003738517,0,0.031047497
Normand et al. 2019,USA,North America,Female,,95% MCP,9.6,3.09,8,VHF,Urban,Not,Temporate,1,0.174891405,0.407320373,0.355978067,0.025920387,0,0,0,0.001103753,0.003738517,0,0.031047497
Hansen et al. 2018,New Zealand,New Zealand,Female,,95% MCP,384.3,,1,GPS,Agricultural - sheep and cattle,Not,Temporate,1,0.052843427,0.129357459,0.296750369,0.171159527,0.114955687,0.208530281,0.02640325,0,0,0,0
Molsher et al. 2017,Australia,Australia,,,95% MCP,255.14,120,43,VHF,Scrubland and Grassland,Not,Temporate,1,0.001496931,0.256124944,0.332418542,0.03507809,0.075719774,0.245671374,0.029364802,0.024125543,0,0,0
Molsher et al. 2017,Australia,Australia,,Summer,95% MCP,232,96,11,VHF,Scrubland and Grassland,Not,Temporate,1,0.001496931,0.256124944,0.332418542,0.03507809,0.075719774,0.245671374,0.029364802,0.024125543,0,0,0
Molsher et al. 2017,Australia,Australia,,Winter,95% MCP,263,104,32,VHF,Scrubland and Grassland,Not,Temporate,1,0.001496931,0.256124944,0.332418542,0.03507809,0.075719774,0.245671374,0.029364802,0.024125543,0,0,0
Leo et al. 2016,Northern Mariana Islands.,Asia,Male,,100% MCP ,91.7,51.3,2,GPS,Forest,Island,Tropical,0,0.029733587,0.335156993,0.046265461,0.000356803,0.365723121,0.128805899,0.076950523,0.017007612,0,0,0
Leo et al. 2016,Northern Mariana Islands.,Asia,Female,,100% MCP ,22.3,4.7,3,GPS,Forest,Island,Tropical,0,0.029733587,0.335156993,0.046265461,0.000356803,0.365723121,0.128805899,0.076950523,0.017007612,0,0,0
Bridges et al. 2015,USA,North America,Male,Winter,100% MCP ,288.24,32.7,6,GPS,Scrub,Island,Mediterranean,1,0.002137806,0,0,0,0,0.997862194,0,0,0,0,0
Bridges et al. 2015,USA,North America,Female,Winter,100% MCP ,179.42,59.9,5,GPS,Scrub,Island,Mediterranean,1,0.002137806,0,0,0,0,0.997862194,0,0,0,0,0
McGregor et al. 2015,Australia,Australia,Male,,95% KDE,855,156,25,GPS,Grassland,Not,Steppe,1,0,0,1,0,0,0,0,0,0,0,0
McGregor et al. 2015,Australia,Australia,Female,,95% KDE,397,275,7,GPS,Grassland,Not,Steppe,1,0,0,1,0,0,0,0,0,0,0,0
Cruz et al. 2014,New Zealand,New Zealand,Male,,100% MCP ,1428.5,489.5,12,GPS,Grassland,Not,Temporate,1,0,0,0.042031831,0.058227582,0,0.441807474,0,0.406751735,0.051181378,0,0
Cruz et al. 2014,New Zealand,New Zealand,Female,,100% MCP ,210.3,55.1,4,GPS,Grassland,Not,Temporate,1,0,0,0.042031831,0.058227582,0,0.441807474,0,0.406751735,0.051181378,0,0
Cruz et al. 2014,New Zealand,New Zealand,Male,Summer,100% MCP ,2092.6,1224.7,5,GPS,Grassland,Not,Temporate,1,0,0,0.042031831,0.058227582,0,0.441807474,0,0.406751735,0.051181378,0,0
Cruz et al. 2014,New Zealand,New Zealand,Female,Summer,100% MCP ,190,72.5,3,GPS,Grassland,Not,Temporate,1,0,0,0.042031831,0.058227582,0,0.441807474,0,0.406751735,0.051181378,0,0
Cruz et al. 2014,New Zealand,New Zealand,Male,Winter,100% MCP ,1126.6,470,11,GPS,Grassland,Not,Temporate,1,0,0,0.042031831,0.058227582,0,0.441807474,0,0.406751735,0.051181378,0,0
Cruz et al. 2014,New Zealand,New Zealand,Female,Winter,100% MCP ,271,,1,GPS,Grassland,Not,Temporate,1,0,0,0.042031831,0.058227582,0,0.441807474,0,0.406751735,0.051181378,0,0
Johnston et al. 2014,Australia,Australia,,Winter,95% MCP,334.8933333,,17,GPS,Scrub,Not,Arid,1,0,0,0,0,0,1,0,0,0,0,0
Johnston et al. 2014,Australia,Australia,Male,Winter,95% MCP,510,84.68,10,GPS,Scrub,Not,Arid,1,0,0,0,0,0,1,0,0,0,0,0
Johnston et al. 2014,Australia,Australia,Female,Winter,95% MCP,410,119.2,7,GPS,Scrub,Not,Arid,1,0,0,0,0,0,1,0,0,0,0,0
Gerht et al. 2013,USA,North America,Male,,95% MCP,73.8,19.5,14,VHF,Urban,Not,Continental,1,0.625775838,0.07977285,0.083127302,0.014222617,0.005601483,0.015220583,0.001229751,0.002375802,0.01301862,0,0.159655155
Gerht et al. 2013,USA,North America,Female,,95% MCP,30.2,7.3,12,VHF,Urban,Not,Continental,1,0.625775838,0.07977285,0.083127302,0.014222617,0.005601483,0.015220583,0.001229751,0.002375802,0.01301862,0,0.159655155
Johnston et al. 2013,Australia,Australia,,Winter,95% MCP,99.5,19.29,6,GPS,Scrub,Not,Semi-arid,1,0,0,0,0,0,1,0,0,0,0,0
Johnston et al. 2013,Australia,Australia,Male,Winter,95% MCP,110.3,19.15,5,GPS,Scrub,Not,Semi-arid,1,0,0,0,0,0,1,0,0,0,0,0
Johnston et al. 2013,Australia,Australia,Female,Winter,95% MCP,43,,1,GPS,Scrub,Not,Semi-arid,1,0,0,0,0,0,1,0,0,0,0,0
Recio & Seddon 2013,New Zealand,New Zealand,,,100% MCP ,554.1,221.8,34,GPS,Grassland,Not,Temporate,1,0,0,0,0.010600707,0.005093433,0.174991246,0.241301372,0.186642473,0.070353039,0.311017732,0
Recio & Seddon 2013,New Zealand,New Zealand,,Winter,100% MCP ,437.1,154.3,9,GPS,Grassland,Not,Temporate,1,0,0,0,0.010600707,0.005093433,0.174991246,0.241301372,0.186642473,0.070353039,0.311017732,0
Recio & Seddon 2013,New Zealand,New Zealand,Male,Winter,100% MCP ,489.7,210.1,5,GPS,Grassland,Not,Temporate,1,0,0,0,0.010600707,0.005093433,0.174991246,0.241301372,0.186642473,0.070353039,0.311017732,0
Recio & Seddon 2013,New Zealand,New Zealand,Female,Winter,100% MCP ,371.3,59.2,4,GPS,Grassland,Not,Temporate,1,0,0,0,0.010600707,0.005093433,0.174991246,0.241301372,0.186642473,0.070353039,0.311017732,0
Recio & Seddon 2013,New Zealand,New Zealand,,Summer,100% MCP ,742.7,267.6,7,GPS,Grassland,Not,Temporate,1,0,0,0,0.010600707,0.005093433,0.174991246,0.241301372,0.186642473,0.070353039,0.311017732,0
Recio & Seddon 2013,New Zealand,New Zealand,Male,Summer,100% MCP ,1209.1,260.7,4,GPS,Grassland,Not,Temporate,1,0,0,0,0.010600707,0.005093433,0.174991246,0.241301372,0.186642473,0.070353039,0.311017732,0
Recio & Seddon 2013,New Zealand,New Zealand,Female,Summer,100% MCP ,120.8,7.3,3,GPS,Grassland,Not,Temporate,1,0,0,0,0.010600707,0.005093433,0.174991246,0.241301372,0.186642473,0.070353039,0.311017732,0
Recio & Seddon 2013,New Zealand,New Zealand,,Summer,100% MCP ,469.1,146.7,7,GPS,Grassland,Not,Temporate,1,0,0,0,0.010600707,0.005093433,0.174991246,0.241301372,0.186642473,0.070353039,0.311017732,0
Recio & Seddon 2013,New Zealand,New Zealand,Male,Summer,100% MCP ,877.7,231.5,4,GPS,Grassland,Not,Temporate,1,0,0,0,0.010600707,0.005093433,0.174991246,0.241301372,0.186642473,0.070353039,0.311017732,0
Recio & Seddon 2013,New Zealand,New Zealand,Female,Summer,100% MCP ,305,76.9,3,GPS,Grassland,Not,Temporate,1,0,0,0,0.010600707,0.005093433,0.174991246,0.241301372,0.186642473,0.070353039,0.311017732,0
Recio & Seddon 2013,New Zealand,New Zealand,,Winter,100% MCP ,581.4,257.3,11,GPS,Grassland,Not,Temporate,1,0,0,0,0.010600707,0.005093433,0.174991246,0.241301372,0.186642473,0.070353039,0.311017732,0
Recio & Seddon 2013,New Zealand,New Zealand,Male,Winter,100% MCP ,245.7,67.5,6,GPS,Grassland,Not,Temporate,1,0,0,0,0.010600707,0.005093433,0.174991246,0.241301372,0.186642473,0.070353039,0.311017732,0
Recio & Seddon 2013,New Zealand,New Zealand,Female,Winter,100% MCP ,821.2,316.9,5,GPS,Grassland,Not,Temporate,1,0,0,0,0.010600707,0.005093433,0.174991246,0.241301372,0.186642473,0.070353039,0.311017732,0
Martin et al. 2013,sub-Antarctic islands,Other,Male,Summer,95% KDE,583,141.4,3,GPS,,Island,Sub-antarctic,0,0,,,,,,,,,,
Moon et al. 2013,South Korea,Asia,Male,,100% MCP ,145.1,103.6,3,GPS,,Not,Temporate,1,0,,,,,,,,,,
Moon et al. 2013,South Korea,Asia,Female,,100% MCP ,57.6,3.65,2,GPS,,Not,Temporate,1,0,,,,,,,,,,
